id,name,official,site
0,,,
1,Masami Kurumada,1,http://40th.kurumadapro.com/
2,Megumu Okada,1,https://twitter.com/meguzou1303
3,Shiori Teshirogi,1,https://twitter.com/teshi_kuro413
4,Chimaki Kuori,1,https://twitter.com/cmk_k
5,Marco Albiero,2,https://www.instagram.com/marcoalbieroart/
6,Márcio Damassena (Cerberus Rack),2,https://www.instagram.com/cerb_rac/
7,Felipe Marchioni,2,https://www.instagram.com/mikhairon/
8,Loic (Libra no Genbu),2,https://www.instagram.com/loic.penet/
9,Toshiya Ono,2,
10,LadyHeinstein,2,https://www.instagram.com/ladyheinstein/
11,markolios,2,https://www.deviantart.com/markolios/gallery/66592852/saint-seiya
12,ABottle,2,https://www.pharaonwebsite.com/users/abottle/fanarts/
13,Hector Habif (Tito Alarcón Habif),2,https://www.instagram.com/tito_habif/
14,Emi MMXIII,2,https://www.pharaonwebsite.com/users/emi/fanarts/
15,Diego Chagas,2,https://www.instagram.com/diegorchagas/
16,Lui Rayson,2,https://www.instagram.com/lui_rayson/
17,Laurent (Trident-Poseidon),2,https://www.deviantart.com/trident-poseidon
18,Jerome Alquie,1,https://www.facebook.com/profile.php?id=100083052864577
19,Nirti (Marzio),2,https://www.deviantart.com/nirti/gallery
20,Alejandro (KakashiHyuga),2,https://www.deviantart.com/kakashihyuga/gallery
21,Tomas Jefferson,2,http://www.pharaonwebsite.com/users/tomas_jefferson/fanarts/
22,Jaxom,2,http://www.pharaonwebsite.com/users/jaxom/fanarts/
23,The Sanctuary's designer & Antares,2,https://www.instagram.com/thesanctuarysdesigner/
24,Narcelio Vito (Gemini Saga),2,https://www.pharaonwebsite.com/users/gemini_saga/fanarts/
25,Juan Carlos Brito,2,https://www.pharaonwebsite.com/users/brito/fanarts/
26,Arman Virgo,2,https://www.pharaonwebsite.com/users/arman_virgo/fanarts/
27,Abelardo Díaz (Abandior),2,https://www.instagram.com/abandior.jpg/
28,Shinshu Ueda,1,https://twitter.com/uedas10
29,Fabio (FaGian),2,https://www.deviantart.com/fagian/gallery
30,Srw13,2,https://www.deviantart.com/srw13/gallery/all
31,Yoshihiko Umakoshi,1,https://twitter.com/ushimou730
32,Shingo Araki ,1,
33,Michi Himeno,1,
34,Pharaon,2,https://www.pharaonwebsite.com/users/pharaon/fanarts/
35,Khom Ix,2,https://www.pharaonwebsite.com/users/khom_ix/fanarts/
36,Wang,2,https://www.pharaonwebsite.com/users/wang/
37,Tsunagami Suda,1,https://twitter.com/tunakansuda
38,Lalo Medina,2,https://www.instagram.com/nientiendo82/
39,Xing Wanzi,2,https://x.com/HoshiDanngo
40,Feeling Lin,1,https://bjzjdm.artstation.com/
